step 79 dis: 0.23340442776679993,reward: 0.01950748637318611, std: 0.1
step 79 dis: 0.23206670582294464,reward: 0.019877225160598755, std: 0.1
step 80 dis: 0.23318400979042053,reward: 0.01954711228609085, std: 0.1
step 80 dis: 0.23240622878074646,reward: 0.019848806783556938, std: 0.1
step 81 dis: 0.23332390189170837,reward: 0.019543088972568512, std: 0.1
step 81 dis: 0.23243725299835205,reward: 0.01974685676395893, std: 0.1
step 82 dis: 0.2334931492805481,reward: 0.019387749955058098, std: 0.1
step 82 dis: 0.23391388356685638,reward: 0.019216882064938545, std: 0.1
step 83 dis: 0.2336256504058838,reward: 0.019250620156526566, std: 0.1
step 83 dis: 0.23186317086219788,reward: 0.019940420985221863, std: 0.1
step 84 dis: 0.23385146260261536,reward: 0.019249452278017998, std: 0.1
step 84 dis: 0.2335508167743683,reward: 0.01929493062198162, std: 0.1
step 85 dis: 0.23346219956874847,reward: 0.019359074532985687, std: 0.1
step 85 dis: 0.23441892862319946,reward: 0.019094107672572136, std: 0.1
step 86 dis: 0.2328791469335556,reward: 0.01956762745976448, std: 0.1
step 87 dis: 0.23377002775669098,reward: 0.019261814653873444, std: 0.1
step 86 dis: 0.2341899871826172,reward: 0.01906919851899147, std: 0.1
step 87 dis: 0.23372770845890045,reward: 0.01908946968615055, std: 0.1
step 88 dis: 0.2329428791999817,reward: 0.01958427205681801, std: 0.1
step 88 dis: 0.23211516439914703,reward: 0.019824188202619553, std: 0.1
step 89 dis: 0.23219966888427734,reward: 0.019833151251077652, std: 0.1
step 89 dis: 0.2315557301044464,reward: 0.0200103297829628, std: 0.1
step 90 dis: 0.2321561723947525,reward: 0.01985042169690132, std: 0.1
step 90 dis: 0.23229888081550598,reward: 0.01970679871737957, std: 0.1
step 91 dis: 0.23247061669826508,reward: 0.01982879638671875, std: 0.1
step 91 dis: 0.23363085091114044,reward: 0.019233595579862595, std: 0.1
step 92 dis: 0.2320757806301117,reward: 0.019785422831773758, std: 0.1
step 92 dis: 0.23291432857513428,reward: 0.019517753273248672, std: 0.1
step 93 dis: 0.23225250840187073,reward: 0.019801393151283264, std: 0.1
step 93 dis: 0.23206360638141632,reward: 0.019880622625350952, std: 0.1
step 94 dis: 0.23274847865104675,reward: 0.01973489299416542, std: 0.1
step 94 dis: 0.2326117306947708,reward: 0.019711662083864212, std: 0.1
step 95 dis: 0.233289435505867,reward: 0.01954156905412674, std: 0.1
step 95 dis: 0.233078271150589,reward: 0.019445348531007767, std: 0.1
step 96 dis: 0.23332920670509338,reward: 0.019595131278038025, std: 0.1
step 96 dis: 0.23308676481246948,reward: 0.019592177122831345, std: 0.1
step 97 dis: 0.23228803277015686,reward: 0.019836479797959328, std: 0.1
step 97 dis: 0.23247285187244415,reward: 0.019800476729869843, std: 0.1
step 98 dis: 0.23119400441646576,reward: 0.02028951793909073, std: 0.1
step 98 dis: 0.23219497501850128,reward: 0.020072221755981445, std: 0.1
step 99 dis: 0.23211203515529633,reward: 0.01988440752029419, std: 0.1
step 99 dis: 0.2310570776462555,reward: 0.020321549847722054, std: 0.1
step 100 dis: 0.23096561431884766,reward: 0.020438283681869507, std: 0.1
step 100 dis: 0.2293570339679718,reward: 0.02112152799963951, std: 0.1
step 101 dis: 0.23091208934783936,reward: 0.020255904644727707, std: 0.1
step 101 dis: 0.23068928718566895,reward: 0.020528150722384453, std: 0.1
step 102 dis: 0.23191431164741516,reward: 0.019950108602643013, std: 0.1
step 102 dis: 0.23085126280784607,reward: 0.0204770490527153, std: 0.1
step 103 dis: 0.23208573460578918,reward: 0.01996653899550438, std: 0.1
step 103 dis: 0.23172983527183533,reward: 0.02006731927394867, std: 0.1
step 104 dis: 0.2302895039319992,reward: 0.020701780915260315, std: 0.1
step 105 dis: 0.23053628206253052,reward: 0.020462140440940857, std: 0.1
step 104 dis: 0.23261971771717072,reward: 0.01971978321671486, std: 0.1
step 106 dis: 0.23124419152736664,reward: 0.02038104087114334, std: 0.1
step 105 dis: 0.2309708595275879,reward: 0.020313266664743423, std: 0.1
step 107 dis: 0.23009903728961945,reward: 0.020793333649635315, std: 0.1
step 106 dis: 0.23051494359970093,reward: 0.02049725502729416, std: 0.1
step 108 dis: 0.22978270053863525,reward: 0.020928215235471725, std: 0.1
step 107 dis: 0.23085851967334747,reward: 0.020373979583382607, std: 0.1
step 109 dis: 0.23113861680030823,reward: 0.02041749097406864, std: 0.1
step 108 dis: 0.23180076479911804,reward: 0.020064812153577805, std: 0.1
step 110 dis: 0.22955936193466187,reward: 0.02092200517654419, std: 0.1
step 111 dis: 0.2301529347896576,reward: 0.020648963749408722, std: 0.1
step 109 dis: 0.22955185174942017,reward: 0.020885765552520752, std: 0.1
step 112 dis: 0.23242563009262085,reward: 0.019942421466112137, std: 0.1
step 110 dis: 0.2291395217180252,reward: 0.021063033491373062, std: 0.1
step 113 dis: 0.2315126359462738,reward: 0.02018328569829464, std: 0.1
step 111 dis: 0.22807233035564423,reward: 0.021551502868533134, std: 0.1
step 114 dis: 0.23271195590496063,reward: 0.019696660339832306, std: 0.1
step 112 dis: 0.23052194714546204,reward: 0.020537089556455612, std: 0.1
step 115 dis: 0.23113493621349335,reward: 0.02022838220000267, std: 0.1
step 113 dis: 0.23027503490447998,reward: 0.020671624690294266, std: 0.1
step 116 dis: 0.2309529185295105,reward: 0.02034277841448784, std: 0.1
step 114 dis: 0.23086798191070557,reward: 0.0203960333019495, std: 0.1
step 117 dis: 0.23070086538791656,reward: 0.02045576274394989, std: 0.1
step 115 dis: 0.23065799474716187,reward: 0.020511489361524582, std: 0.1
step 118 dis: 0.2307087779045105,reward: 0.020392002537846565, std: 0.1
step 116 dis: 0.23127441108226776,reward: 0.02025589346885681, std: 0.1
step 119 dis: 0.23042435944080353,reward: 0.020501866936683655, std: 0.1
step 117 dis: 0.22878506779670715,reward: 0.021136069670319557, std: 0.1
step 120 dis: 0.22975720465183258,reward: 0.020764734596014023, std: 0.1
step 118 dis: 0.23036730289459229,reward: 0.020621396601200104, std: 0.1
step 119 dis: 0.23048004508018494,reward: 0.020585287362337112, std: 0.1
step 120 dis: 0.22984862327575684,reward: 0.020686224102973938, std: 0.1
step 121 dis: 0.22870449721813202,reward: 0.02117818593978882, std: 0.1
step 121 dis: 0.22806289792060852,reward: 0.02161327376961708, std: 0.1
step 122 dis: 0.2278626561164856,reward: 0.02163391187787056, std: 0.1
step 122 dis: 0.22768065333366394,reward: 0.021737631410360336, std: 0.1
step 123 dis: 0.22751978039741516,reward: 0.02174767106771469, std: 0.1
step 123 dis: 0.22712433338165283,reward: 0.02218012884259224, std: 0.1
step 124 dis: 0.22805795073509216,reward: 0.021595269441604614, std: 0.1
step 124 dis: 0.22893205285072327,reward: 0.02123236283659935, std: 0.1
step 125 dis: 0.22787806391716003,reward: 0.02171958051621914, std: 0.1
step 125 dis: 0.230136901140213,reward: 0.020876271650195122, std: 0.1
step 126 dis: 0.22834771871566772,reward: 0.021432597190141678, std: 0.1
step 127 dis: 0.22823935747146606,reward: 0.021409403532743454, std: 0.1
step 126 dis: 0.22918039560317993,reward: 0.021051693707704544, std: 0.1
step 128 dis: 0.22828516364097595,reward: 0.021580299362540245, std: 0.1
step 127 dis: 0.22824358940124512,reward: 0.02150767110288143, std: 0.1
step 129 dis: 0.22772827744483948,reward: 0.021777579560875893, std: 0.1
step 130 dis: 0.2283460795879364,reward: 0.021616972982883453, std: 0.1
step 128 dis: 0.2276170551776886,reward: 0.021910205483436584, std: 0.1
step 131 dis: 0.22752182185649872,reward: 0.021723821759223938, std: 0.1
